iter	RMSE
0	7.011830602
1	6.833379921
2	6.660520059
3	6.495287598
4	6.332330137
5	6.178089195
6	6.03063705
7	5.890677754
8	5.756396637
9	5.62599288
10	5.493548703
11	5.367186492
12	5.242273701
13	5.125139143
14	5.011640371
15	4.902725619
16	4.794958092
17	4.692644021
18	4.592982714
19	4.489915669
20	4.397841014
21	4.309004352
22	4.224957355
23	4.13812806
24	4.052651301
25	3.969666525
26	3.893807592
27	3.822679964
28	3.755323027
29	3.689231979
30	3.625597655
31	3.556596964
32	3.496085205
33	3.440463881
34	3.387000749
35	3.333381616
36	3.2801761
37	3.224857041
38	3.179029053
39	3.13631291
40	3.09228061
41	3.049567023
42	3.005720239
43	2.961964785
44	2.916409277
45	2.881561494
46	2.84757435
47	2.813980474
48	2.780664866
49	2.752382724
50	2.714543177
51	2.678339069
52	2.643713297
53	2.619352917
54	2.593553898
55	2.561822914
56	2.531467248
57	2.502470661
58	2.473196444
59	2.454282706
60	2.435644455
61	2.417976577
62	2.399814913
63	2.383764944
64	2.359669131
65	2.344718926
66	2.327697154
67	2.303327177
68	2.284764448
69	2.271647253
70	2.258599505
71	2.245370079
72	2.234601396
73	2.21736849
74	2.202306244
75	2.190581209
76	2.180223737
77	2.168776575
78	2.157863428
79	2.1468561
80	2.128515118
81	2.118499706
82	2.109653599
83	2.09176462
84	2.08226569
85	2.074911318
86	2.062994072
87	2.046320877
88	2.039910416
89	2.032373935
90	2.016369954
91	2.008583862
92	2.003130542
93	1.997673472
94	1.991461001
95	1.981838903
96	1.967852725
97	1.962628461
98	1.953740242
99	1.945829463
100	1.935409755
101	1.928081078
102	1.922960794
103	1.915582666
104	1.91096743
105	1.906201737
106	1.901413571
107	1.896593795
108	1.885120294
109	1.881212505
110	1.87366702
111	1.867219747
112	1.857441395
113	1.853230996
114	1.850422977
115	1.840214445
116	1.834464791
117	1.824765616
118	1.82166428
119	1.812556982
120	1.80358774
121	1.800083287
122	1.79339019
123	1.790297073
124	1.786065394
125	1.782989959
126	1.779788423
127	1.777926293
128	1.771958668
129	1.769880391
130	1.767585198
131	1.765408171
132	1.763757804
133	1.758724052
134	1.755633938
135	1.745972078
136	1.743082794
137	1.740985014
138	1.737600109
139	1.735283006
140	1.730571
141	1.730352556
142	1.727028881
143	1.720230924
144	1.71856075
145	1.713207902
146	1.711204055
147	1.704582842
148	1.699386906
149	1.69668998
150	1.694857771
151	1.694592061
152	1.690309355
153	1.684074111
154	1.678377377
155	1.676630447
156	1.673559082
157	1.668660124
158	1.667128147
159	1.66589581
160	1.661649877
161	1.660232887
162	1.658640439
163	1.652742896
164	1.648001027
165	1.645903411
166	1.641838731
167	1.639541936
168	1.636208109
169	1.634879769
170	1.634053542
171	1.629753609
172	1.629581276
173	1.626230547
174	1.618685899
175	1.617442539
176	1.613265921
177	1.606229614
178	1.604008579
179	1.602683295
180	1.602569773
181	1.601275051
182	1.597803409
183	1.596751081
184	1.595561932
185	1.592392978
186	1.590592122
187	1.585944757
188	1.579898858
189	1.577943278
190	1.576630651
191	1.574395261
192	1.573871733
193	1.572561316
194	1.571387331
195	1.570359545
196	1.564372251
197	1.562575505
198	1.560951274
199	1.559513804
200	1.557645251
201	1.555211861
202	1.553861064
203	1.552010839
204	1.55190047
205	1.551652828
206	1.550344333
207	1.550284939
208	1.547022061
209	1.544982857
210	1.543721563
211	1.542561475
212	1.541890138
213	1.539970383
214	1.537451662
215	1.536103194
216	1.534817832
217	1.534298301
218	1.532651465
219	1.53225554
220	1.530728479
221	1.528163126
222	1.525232841
223	1.524163246
224	1.523933201
225	1.523708961
226	1.523229245
227	1.523041886
228	1.520663936
229	1.517808472
230	1.514651824
231	1.513086467
232	1.511526112
233	1.510685589
234	1.510650301
235	1.509152864
236	1.508606168
237	1.506574344
238	1.502941475
239	1.502384269
240	1.499473227
241	1.498224845
242	1.49519216
243	1.494450371
244	1.490265712
245	1.488965858
246	1.485830064
247	1.485072685
248	1.484340879
249	1.483544183
250	1.481903831
251	1.481452836
252	1.478534542
253	1.474238532
254	1.472892117
255	1.47271416
256	1.471876735
257	1.471461866
258	1.470754672
259	1.470659165
260	1.470048814
261	1.46971792
262	1.466262331
263	1.463514992
264	1.459922666
265	1.455931645
266	1.455546345
267	1.454387812
268	1.452732311
269	1.451972223
270	1.451913675
271	1.450147481
272	1.448162615
273	1.447668402
274	1.44625501
275	1.442252442
276	1.441981617
277	1.441891753
278	1.439595762
279	1.437310365
280	1.436465629
281	1.436395829
282	1.43546383
283	1.433860894
284	1.430527679
285	1.428701573
286	1.427854025
287	1.427023845
288	1.423823333
289	1.422486502
290	1.422448523
291	1.420165069
292	1.41833772
293	1.417551287
294	1.417483302
295	1.416938356
296	1.416168481
297	1.416119841
298	1.416072939
299	1.415723819
300	1.415153212
301	1.414831324
302	1.413417078
303	1.412574533
304	1.411330402
305	1.410615253
306	1.4105885
307	1.40984046
308	1.409799097
309	1.408063584
310	1.40803492
311	1.407685104
312	1.406463029
313	1.406384849
314	1.406346774
315	1.406324685
316	1.405385181
317	1.403283279
318	1.401380798
319	1.401249096
320	1.400904164
321	1.399819369
322	1.399387736
323	1.397749567
324	1.396095305
325	1.393603932
326	1.393590307
327	1.392253264
328	1.391717961
329	1.390962514
330	1.389529064
331	1.389459479
332	1.388530306
333	1.386653134
334	1.385350514
335	1.383987601
336	1.383930999
337	1.383906773
