iter	Passed	Remaining
0	6	32590
1	13	33059
2	19	32399
3	25	32109
4	32	32058
5	38	31951
6	44	31690
7	50	31546
8	56	31326
9	62	31197
10	68	31218
11	75	31200
12	81	31229
13	87	31262
14	94	31300
15	100	31285
16	106	31271
17	113	31287
18	119	31271
19	125	31304
20	131	31267
21	137	31191
22	144	31188
23	150	31227
24	157	31263
25	163	31254
26	169	31191
27	175	31181
28	181	31158
29	188	31149
30	194	31139
31	200	31162
32	207	31195
33	214	31349
34	221	31379
35	227	31324
36	232	31248
37	239	31209
38	244	31145
39	250	31058
40	256	30999
41	262	30929
42	267	30876
43	273	30815
44	279	30774
45	285	30711
46	291	30713
47	297	30706
48	303	30711
49	309	30681
50	316	30709
51	322	30729
52	329	30744
53	335	30751
54	341	30704
55	347	30687
56	353	30675
57	359	30665
58	365	30648
59	371	30591
60	377	30574
61	384	30591
62	390	30600
63	396	30607
64	403	30617
65	410	30667
66	416	30680
67	422	30672
68	428	30647
69	435	30674
70	441	30668
71	448	30684
72	454	30705
73	461	30713
74	467	30721
75	474	30720
76	480	30718
77	487	30735
78	493	30735
79	499	30743
80	506	30755
81	512	30759
82	519	30762
83	525	30743
84	531	30734
85	537	30738
86	544	30750
87	551	30770
88	557	30769
89	564	30779
90	570	30788
91	577	30810
92	584	30817
93	590	30818
94	596	30800
95	603	30826
96	609	30808
97	615	30792
98	621	30766
99	628	30780
100	634	30788
101	641	30795
102	647	30791
103	653	30783
104	659	30743
105	665	30738
106	671	30719
107	677	30703
108	684	30698
109	690	30680
110	696	30678
111	702	30658
112	709	30673
113	715	30679
114	721	30653
115	727	30634
116	733	30625
117	739	30612
118	746	30603
119	752	30594
120	758	30584
121	764	30580
122	770	30567
123	776	30551
124	783	30550
125	789	30528
126	795	30509
127	801	30500
128	808	30524
129	814	30528
130	820	30511
131	827	30516
132	833	30494
133	839	30474
134	845	30458
135	850	30433
136	856	30407
137	862	30377
138	867	30351
139	873	30327
140	879	30324
141	886	30314
142	892	30316
143	898	30306
144	905	30313
145	911	30315
146	917	30305
147	924	30292
148	929	30277
149	935	30254
150	941	30240
151	947	30226
152	954	30224
153	960	30214
154	966	30217
155	972	30207
156	979	30204
157	985	30203
158	991	30189
159	997	30180
160	1004	30188
161	1010	30179
162	1016	30169
163	1023	30182
164	1029	30181
165	1036	30189
166	1042	30184
167	1049	30175
168	1055	30166
169	1060	30143
170	1066	30123
171	1072	30107
172	1078	30083
173	1084	30072
174	1090	30063
175	1096	30049
